2025-01-12_15-11-46 | Marina | multiplication_par2 | 80 |  | 180
2025-01-12_15-22-45 | Marina | adittion_b2 | 23 |  | 908
2025-01-12_15-23-29 | Diso | adittion_b2 | 189 |  | 565
2025-01-12_15-24-14 | Marina | adittion_b2 | 189 |  | 655
2025-01-12_15-24-33 | Marina | adittion_b2 | 4 |  | 595
2025-01-12_15-25-07 | Diso | adittion_b2 | 85 |  | 510
2025-01-12_15-25-30 | Marina | adittion_b2 | 85 |  | 500
2025-01-12_15-25-44 | Marina | adittion_b2 | 110 |  | 742
2025-01-12_15-25-54 | Diso | adittion_b2 | 195 |  | 532
2025-01-12_15-26-17 | Marina | adittion_b2 | 195 |  | 527
2025-01-12_15-26-31 | Marina | adittion_b2 | 266 |  | 250
2025-01-12_15-26-55 | Marina | adittion_b2 | 199 |  | 200
2025-01-12_15-27-11 | Marina | adittion_b2 | 85 |  | 500
2025-01-12_15-27-28 | Marina | adittion_b2 | 221 |  | 886
2025-01-12_15-27-36 | Marina | num_lettre_v1 | 0 |  | un
2025-01-12_15-27-41 | Marina | num_lettre_v1 | 1 |  | deux
2025-01-12_15-27-55 | Marina | num_lettre_v1 | 2 |  | trois
2025-01-12_15-28-02 | Marina | num_lettre_v1 | 3 |  | quatre
2025-01-12_15-28-14 | Marina | num_lettre_v1 | 4 |  | cinq
2025-01-12_15-28-26 | Marina | Addition_vola_1 | 13 |  | 700
2025-01-12_15-28-36 | Marina | Addition_vola_1 | 7 |  | 400
2025-01-12_15-28-43 | Marina | Addition_vola_1 | 22 |  | 3000
2025-01-12_15-28-49 | Marina | Addition_vola_1 | 12 |  | 600
2025-01-12_15-28-55 | Marina | Addition_vola_1 | 20 |  | 1500
2025-01-12_15-29-02 | Marina | vola_moins_isa1 | 24 |  | 4900
2025-01-12_15-29-08 | Marina | vola_moins_isa1 | 25 |  | 4800
2025-01-12_15-29-19 | Marina | vola_moins_isa1 | 20 |  | 1300
2025-01-12_15-29-29 | Marina | vola_moins_isa1 | 20 |  | 1300
2025-01-12_15-29-36 | Marina | vola_moins_isa1 | 12 |  | 200
2025-01-12_15-29-52 | Marina | dict_mg_v4 | 4 |  | Tsimbazaza
2025-01-12_15-30-08 | Marina | dict_mg_v4 | 30 |  | Mahamasina
2025-01-12_15-30-24 | Marina | dict_mg_v4 | 6 |  | Ambohijatovo
2025-01-12_15-30-46 | Marina | dict_mg_v4 | 27 |  | Jovenna
2025-01-12_15-31-26 | Marina | dict_mg_v4 | 34 |  | gendarme
2025-01-12_15-31-35 | Marina | dict_mg_v4 | 10 |  | 196
2025-01-12_15-31-42 | Marina | dict_mg_v4 | 5 |  | Analakely
2025-01-12_15-31-55 | Marina | dict_mg_v4 | 21 |  | Antananarivo
2025-01-12_15-32-10 | Marina | dict_mg_v4 | 13 |  | Ambohipo
2025-01-12_15-32-25 | Marina | dict_mg_v4 | 19 |  | Soarano
2025-01-12_15-32-33 | Marina | addition_3ch_hor | 0 | andrana | 22
2025-01-12_15-32-43 | Marina | addition_3ch_hor | 1 | andrana | 16
2025-01-12_15-32-51 | Marina | addition_3ch_hor | 2 | andrana | 9
2025-01-12_15-33-00 | Marina | addition_3ch_hor | 3 | andrana | 13
2025-01-12_15-33-07 | Marina | addition_3ch_hor | 4 | andrana | 16
2025-01-12_15-33-15 | Marina | addition_1p2p3 | 214 |  | 15
2025-01-12_15-33-20 | Marina | addition_1p2p3 | 167 |  | 19
2025-01-12_15-33-28 | Marina | addition_1p2p3 | 247 |  | 21
